Name,total_seasons,latest_season,PAavg,wRCavg,category
A.J. Ellis,3,2014,433.3333333333333,94.66666666666667,1
A.J. Pierzynski,6,2015,475.0,93.83333333333333,1
A.J. Pollock,7,2022,481.7142857142857,111.14285714285714,2
Aaron Altherr,1,2017,412.0,120.0,2
Aaron Hicks,7,2023,395.85714285714283,96.71428571428571,1
Aaron Hill,7,2016,500.57142857142856,92.57142857142857,1
Aaron Judge,6,2023,568.3333333333334,165.5,3
Aaron Miles,1,2011,490.0,86.0,1
Aaron Rowand,2,2011,354.0,76.0,1
Abraham Toro,2,2022,363.5,78.5,1
Adalberto Mondesi,1,2019,443.0,81.0,1
Adam Dunn,5,2014,582.2,106.4,2
Adam Duvall,6,2023,484.1666666666667,95.66666666666667,1
Adam Eaton,5,2019,591.8,117.4,2
Adam Engel,2,2018,399.5,53.5,1
Adam Frazier,6,2023,518.3333333333334,99.66666666666667,1
Adam Jones,10,2019,633.6,107.7,2
Adam Kennedy,2,2011,399.0,77.5,1
Adam LaRoche,5,2015,584.4,107.4,2
Adam Lind,8,2017,456.25,110.75,2
Adam Rosales,1,2017,312.0,58.0,1
Addison Russell,4,2018,492.75,87.5,1
Adeiny Hechavarria,6,2018,477.8333333333333,73.33333333333333,1
Adolis Garcia,3,2023,637.0,112.33333333333333,2
Adonis Garcia,1,2016,563.0,89.0,1
Adrian Beltre,9,2018,583.6666666666666,128.88888888888889,3
Adrian Gonzalez,7,2016,667.0,129.42857142857142,3
Albert Almora Jr.,3,2019,388.3333333333333,85.33333333333333,1
Albert Pujols,11,2022,590.9090909090909,118.72727272727273,2
Alberto Callaspo,5,2014,524.8,91.4,1
Alcides Escobar,10,2021,591.3,72.8,1
Alec Bohm,3,2023,553.0,93.33333333333333,1
Aledmys Diaz,6,2023,367.1666666666667,96.0,1
Alejandro De Aza,4,2015,538.25,101.75,2
Alen Hanson,1,2018,310.0,87.0,1
Alex Avila,6,2017,421.6666666666667,106.66666666666667,2
Alex Bregman,6,2023,633.5,137.33333333333334,3
Alex Dickerson,1,2021,312.0,98.0,1
Alex Gonzalez,2,2011,616.5,85.5,1
Alex Gordon,9,2019,602.6666666666666,104.88888888888889,2
Alex Presley,1,2012,370.0,86.0,1
Alex Rios,6,2015,570.1666666666666,94.16666666666667,1
Alex Rodriguez,4,2015,543.0,123.0,3
Alex Verdugo,4,2023,556.75,104.5,2
Alexei Ramirez,7,2016,627.1428571428571,84.14285714285714,1
Alexi Amarista,4,2015,379.75,69.5,1
Alexi Casilla,2,2012,345.5,76.5,1
Alfonso Soriano,4,2013,574.25,111.5,2
Allen Craig,3,2014,527.3333333333334,113.0,2
Amed Rosario,5,2023,610.0,95.8,1
Andre Ethier,6,2015,522.0,122.16666666666667,3
Andrelton Simmons,8,2021,552.75,84.625,1
Andres Torres,4,2013,425.5,96.25,1
Andrew Benintendi,6,2023,602.3333333333334,106.16666666666667,2
Andrew McCutchen,12,2023,637.0833333333334,129.08333333333334,3
Andrew Romine,1,2017,348.0,66.0,1
Andrew Vaughn,3,2023,546.3333333333334,103.0,2
Andrew Velazquez,1,2022,349.0,49.0,1
Andruw Jones,1,2010,328.0,121.0,3
Andy Dirks,2,2013,414.0,111.0,2
Angel Pagan,7,2016,519.4285714285714,103.28571428571429,2
Angel Sanchez,1,2011,328.0,66.0,1
Anthony Gose,1,2015,535.0,89.0,1
Anthony Rendon,7,2019,561.0,124.71428571428571,3
Anthony Rizzo,11,2023,596.8181818181819,128.0909090909091,3
Anthony Santander,4,2023,536.5,107.5,2
Aramis Ramirez,6,2015,526.8333333333334,116.5,2
Arismendy Alcantara,1,2014,300.0,72.0,1
Asdrubal Cabrera,11,2021,545.7272727272727,103.0,2
Aubrey Huff,2,2011,623.5,116.5,2
Austin Hays,3,2023,559.0,108.33333333333333,2
Austin Hedges,5,2022,348.0,58.4,1
Austin Jackson,8,2018,556.25,101.5,2
Austin Kearns,1,2010,461.0,108.0,2
Austin Meadows,2,2021,591.0,128.0,3
Austin Nola,1,2022,397.0,89.0,1
Austin Riley,3,2023,690.0,136.0,3
Austin Slater,2,2022,315.5,113.5,2
Avisail Garcia,7,2022,489.2857142857143,99.0,1
Ben Gamel,4,2022,432.25,95.0,1
Ben Paulsen,1,2015,354.0,99.0,1
Ben Revere,7,2017,473.2857142857143,80.14285714285714,1
Ben Zobrist,9,2018,614.5555555555555,116.66666666666667,2
Bengie Molina,1,2010,416.0,65.0,1
Bill Hall,1,2010,382.0,104.0,2
Billy Burns,2,2016,443.5,76.5,1
Billy Butler,6,2015,650.3333333333334,117.0,2
Billy Hamilton,6,2019,511.1666666666667,65.33333333333333,1
Billy McKinney,1,2021,300.0,73.0,1
Blake DeWitt,1,2010,496.0,92.0,1
Blake Swihart,1,2015,309.0,93.0,1
Bo Bichette,3,2023,662.6666666666666,125.0,3
Bobby Abreu,2,2011,626.0,111.5,2
Bobby Dalbec,2,2022,403.0,93.0,1
Brad Hawpe,1,2010,346.0,92.0,1
Brad Miller,6,2021,438.0,99.83333333333333,1
Bradley Zimmer,2,2021,340.0,85.0,1
Brandon Barnes,2,2014,379.0,79.0,1
Brandon Belt,9,2023,506.8888888888889,127.55555555555556,3
Brandon Crawford,11,2023,529.5454545454545,93.9090909090909,1
Brandon Dixon,1,2019,420.0,87.0,1
Brandon Drury,5,2023,503.4,99.4,1
Brandon Guyer,2,2016,365.0,120.5,3
Brandon Inge,3,2012,404.6666666666667,73.66666666666667,1
Brandon Lowe,3,2023,459.3333333333333,126.33333333333333,3
Brandon Moss,5,2017,495.2,108.0,2
Brandon Nimmo,4,2023,569.0,136.25,3
Brandon Phillips,8,2017,620.125,98.125,1
Brayan Pena,2,2015,369.5,80.0,1
Brendan Rodgers,2,2022,498.0,96.0,1
Brendan Ryan,4,2013,449.75,61.75,1
Brennan Boesch,3,2012,495.6666666666667,96.33333333333333,1
Brent Morel,1,2011,444.0,75.0,1
Brett Gardner,10,2021,599.4,104.3,2
Brett Lawrie,4,2016,491.0,95.25,1
Brett Wallace,1,2011,379.0,95.0,1
Brian Anderson,4,2023,483.5,99.5,1
Brian Bogusevic,1,2012,404.0,66.0,1
Brian Dozier,8,2019,610.5,103.625,2
Brian Goodwin,1,2019,458.0,106.0,2
Brian McCann,9,2019,473.55555555555554,105.22222222222223,2
Brian Roberts,1,2014,348.0,86.0,1
Brock Holt,4,2018,423.0,98.25,1
Bryan LaHair,1,2012,380.0,110.0,2
Bryan Reynolds,4,2023,611.5,125.5,3
Bryce Harper,11,2023,564.5454545454545,140.63636363636363,3
Buster Posey,10,2021,540.5,128.3,3
Byron Buxton,4,2023,392.75,102.5,2
C.J. Cron,7,2022,494.2857142857143,109.85714285714286,2
Caleb Joseph,1,2015,355.0,88.0,1
Cameron Maybin,7,2018,461.57142857142856,94.14285714285714,1
Cameron Rupp,2,2017,375.0,91.0,1
Carl Crawford,4,2014,510.25,111.5,2
Carlos Asuaje,1,2017,343.0,88.0,1
Carlos Beltran,7,2017,557.0,117.28571428571429,2
Carlos Correa,8,2023,521.5,127.625,3
Carlos Gomez,8,2018,471.0,100.75,2
Carlos Gonzalez,8,2018,558.875,118.0,2
Carlos Lee,3,2012,639.0,98.33333333333333,1
Carlos Pena,4,2013,529.0,102.5,2
Carlos Quentin,4,2013,417.5,133.25,3
Carlos Ruiz,6,2015,405.3333333333333,107.0,2
Carlos Santana,12,2023,644.9166666666666,115.33333333333333,2
Carson Kelly,3,2022,359.3333333333333,94.66666666666667,1
Casey Blake,1,2010,571.0,101.0,2
Casey Kotchman,3,2012,506.6666666666667,88.66666666666667,1
Casey McGehee,4,2014,578.25,90.5,1
Casper Wells,1,2012,316.0,98.0,1
Cavan Biggio,3,2023,357.0,104.66666666666667,2
Cedric Mullins,3,2023,600.6666666666666,114.33333333333333,2
Cesar Hernandez,7,2022,611.4285714285714,96.14285714285714,1
Cesar Izturis,1,2010,513.0,46.0,1
Chad Pinder,4,2022,347.75,96.5,1
Charlie Blackmon,9,2023,622.0,112.33333333333333,2
Charlie Culberson,1,2018,322.0,107.0,2
Chas McCormick,3,2023,394.6666666666667,118.66666666666667,2
Chase Headley,8,2017,587.5,108.625,2
Chase Utley,8,2017,482.875,106.125,2
Cheslor Cuthbert,2,2019,420.0,84.5,1
Chipper Jones,3,2012,447.0,122.0,3
Chone Figgins,2,2011,507.5,62.5,1
Chris Carter,4,2016,565.25,113.75,2
Chris Coghlan,4,2016,408.75,99.5,1
Chris Colabello,1,2015,360.0,143.0,3
Chris Davis,8,2019,561.625,105.0,2
Chris Denorfia,5,2014,383.4,105.0,2
Chris Getz,1,2011,429.0,66.0,1
Chris Heisey,2,2012,341.5,103.0,2
Chris Iannetta,7,2018,361.2857142857143,100.42857142857143,2
Chris Johnson,5,2014,490.6,103.4,2
Chris Nelson,1,2012,377.0,102.0,2
Chris Owings,5,2018,409.0,73.0,1
Chris Parmelee,1,2013,333.0,84.0,1
Chris Snyder,1,2010,376.0,82.0,1
Chris Stewart,1,2013,340.0,59.0,1
Chris Taylor,6,2023,501.0,109.16666666666667,2
Chris Young,6,2015,463.8333333333333,99.5,1
Christian Arroyo,1,2022,300.0,102.0,2
Christian Vazquez,5,2023,429.0,86.8,1
Christian Villanueva,1,2018,384.0,104.0,2
Christian Walker,4,2023,594.0,110.0,2
Christian Yelich,9,2023,616.4444444444445,129.44444444444446,3
Christin Stewart,1,2019,416.0,80.0,1
Clete Thomas,1,2013,322.0,65.0,1
Cliff Pennington,3,2012,536.0,82.66666666666667,1
Clint Barmes,4,2013,437.5,66.75,1
Clint Robinson,1,2015,352.0,114.0,2
Coco Crisp,6,2016,506.1666666666667,103.33333333333333,2
Cody Asche,2,2015,445.0,90.5,1
Cody Bellinger,6,2023,549.3333333333334,114.16666666666667,2
Cody Ross,4,2013,477.25,104.75,2
Colby Rasmus,7,2016,488.7142857142857,104.42857142857143,2
