Name,PlayerId,category
A.J. Ellis,5677,2
A.J. Pierzynski,746,1
A.J. Pollock,9256,2
Aaron Altherr,11270,3
Aaron Hicks,5297,2
Aaron Hill,6104,1
Aaron Judge,15640,3
Aaron Miles,1844,1
Aaron Rowand,254,1
Abraham Toro,19844,1
Adalberto Mondesi,13769,1
Adam Dunn,319,2
Adam Duvall,10950,2
Adam Eaton,11205,3
Adam Engel,15082,1
Adam Frazier,15223,2
Adam Jones,6368,2
Adam Kennedy,19,1
Adam LaRoche,1904,2
Adam Lind,8027,2
Adam Rosales,9682,1
Addison Russell,14106,1
Adeiny Hechavarria,10459,1
Adolis Garcia,19287,2
Adonis Garcia,13777,1
Adrian Beltre,639,3
Adrian Gonzalez,1908,3
Albert Almora Jr.,14109,1
Albert Pujols,1177,3
Alberto Callaspo,3336,1
Alcides Escobar,6310,1
Alec Bohm,21618,2
Aledmys Diaz,15937,2
Alejandro De Aza,3371,2
Alen Hanson,12926,1
Alex Avila,7476,2
Alex Bregman,17678,3
Alex Dickerson,12649,2
Alex Gonzalez,520,1
Alex Gordon,5209,2
Alex Presley,5305,1
Alex Rios,2090,2
Alex Rodriguez,1274,3
Alex Verdugo,17027,2
Alexei Ramirez,5133,1
Alexi Amarista,9063,1
Alexi Casilla,5248,1
Alfonso Soriano,847,2
Allen Craig,3433,2
Amed Rosario,15518,2
Andre Ethier,6265,3
Andrelton Simmons,10847,1
Andres Torres,1488,2
Andrew Benintendi,17901,2
Andrew McCutchen,9847,3
Andrew Romine,1159,1
Andrew Vaughn,26197,2
Andrew Velazquez,14196,1
Andruw Jones,96,3
Andy Dirks,6453,2
Angel Pagan,2918,2
Angel Sanchez,3492,1
Anthony Gose,5097,1
Anthony Rendon,12861,3
Anthony Rizzo,3473,3
Anthony Santander,14551,2
Aramis Ramirez,1002,3
Arismendy Alcantara,10711,1
Asdrubal Cabrera,4962,2
Aubrey Huff,1213,3
Austin Hays,19363,2
Austin Hedges,12976,1
Austin Jackson,9848,2
Austin Kearns,332,2
Austin Meadows,15672,3
Austin Nola,15941,1
Austin Riley,18360,3
Austin Slater,16153,2
Avisail Garcia,5760,2
Ben Gamel,12160,2
Ben Paulsen,9741,2
Ben Revere,4712,1
Ben Zobrist,7435,3
Bengie Molina,24,1
Bill Hall,1605,2
Billy Burns,12701,1
Billy Butler,7399,3
Billy Hamilton,10199,1
Billy McKinney,15654,1
Blake DeWitt,7485,1
Blake Swihart,13176,1
Bo Bichette,19612,3
Bobby Abreu,945,2
Bobby Dalbec,19966,1
Brad Hawpe,1885,1
Brad Miller,12775,2
Bradley Zimmer,16221,1
Brandon Barnes,629,1
Brandon Belt,10264,3
Brandon Crawford,5343,2
Brandon Dixon,15214,1
Brandon Drury,11615,2
Brandon Guyer,2636,3
Brandon Inge,470,1
Brandon Lowe,18882,3
Brandon Moss,4467,2
Brandon Nimmo,12927,3
Brandon Phillips,791,2
Brayan Pena,3231,1
Brendan Rodgers,17907,2
Brendan Ryan,6073,1
Brennan Boesch,914,2
Brent Morel,6402,1
Brett Gardner,9927,2
Brett Lawrie,5247,2
Brett Wallace,8434,2
Brian Anderson,18289,2
Brian Bogusevic,4719,1
Brian Dozier,9810,2
Brian Goodwin,12858,2
Brian McCann,4810,2
Brian Roberts,166,1
Brock Holt,9345,2
Bryan LaHair,5462,2
Bryan Reynolds,19326,3
Bryce Harper,11579,3
Buster Posey,9166,3
Byron Buxton,14161,2
C.J. Cron,12546,2
Caleb Joseph,7087,1
Cameron Maybin,5223,1
Cameron Rupp,11146,1
Carl Crawford,1201,2
Carlos Asuaje,15197,1
Carlos Beltran,589,3
Carlos Correa,14162,3
Carlos Gomez,4881,2
Carlos Gonzalez,7287,3
Carlos Lee,243,2
Carlos Pena,934,2
Carlos Quentin,6274,3
Carlos Ruiz,2579,2
Carlos Santana,2396,3
Carson Kelly,13620,1
Casey Blake,719,2
Casey Kotchman,1930,1
Casey McGehee,6086,1
Casper Wells,9700,2
Cavan Biggio,19252,2
Cedric Mullins,17929,3
Cesar Hernandez,10556,2
Cesar Izturis,656,1
Chad Pinder,15191,2
Charlie Blackmon,7859,2
Charlie Culberson,3298,2
Chas McCormick,19599,3
Chase Headley,4720,2
Chase Utley,1679,2
Cheslor Cuthbert,10473,1
Chipper Jones,97,3
Chone Figgins,1580,1
Chris Carter,9911,2
Chris Coghlan,6878,2
Chris Colabello,13051,3
Chris Davis,9272,2
Chris Denorfia,4400,2
Chris Getz,3388,1
Chris Heisey,3978,2
Chris Iannetta,8267,2
Chris Johnson,1191,2
Chris Nelson,8175,2
Chris Owings,10030,1
Chris Parmelee,2554,1
Chris Snyder,4606,1
Chris Stewart,3878,1
Chris Taylor,13757,2
Chris Young,3882,2
Christian Arroyo,16434,2
Christian Vazquez,9774,1
Christian Villanueva,11738,2
Christian Walker,13419,2
Christian Yelich,11477,3
Christin Stewart,17714,1
Clete Thomas,3373,1
Cliff Pennington,3395,1
Clint Barmes,1830,1
Clint Robinson,6908,2
Coco Crisp,1572,2
Cody Asche,11997,1
Cody Bellinger,15998,3
Cody Ross,1760,2
Colby Rasmus,9893,2
Colin Moran,16909,2
Conor Gillaspie,9009,2
Conor Jackson,5997,1
Corey Dickerson,10762,2
Corey Hart,1945,3
Corey Patterson,300,1
Corey Seager,13624,3
Cory Spangenberg,12294,1
Cristian Guzman,728,1
Curtis Granderson,4747,3
D.J. Stewart,17766,1
DJ LeMahieu,9874,2
Dae-Ho Lee,18722,2
Dan Uggla,3442,2
Daniel Descalso,8392,1
Daniel Murphy,4316,3
Daniel Nava,5450,2
Daniel Palka,14897,2
Daniel Robertson,14145,3
Daniel Vogelbach,14130,3
Danny Espinosa,9219,1
Danny Santana,10322,3
Danny Valencia,6364,2
Dansby Swanson,18314,1
Daric Barton,5928,3
Darin Ruf,9929,2
Darnell McDonald,1867,2
Darwin Barney,2430,1
Daulton Varsho,19918,2
David Bote,14593,1
David Dahl,13744,2
David DeJesus,1825,2
David Eckstein,10,1
David Fletcher,17992,1
David Freese,9549,2
David Lough,7215,2
David Murphy,6035,2
David Ortiz,745,3
David Peralta,2136,2
David Wright,3787,3
Dayan Viciedo,3917,2
Dee Strange-Gordon,8203,1
Delino DeShields,11379,1
Delmon Young,2140,2
Denard Span,8347,2
Derek Dietrich,10542,2
Derek Jeter,826,2
Derek Norris,6867,2
Derrek Lee,525,2
Desmond Jennings,1965,2
Devin Mesoraco,5666,2
Devon Travis,13862,1
Dexter Fowler,4062,2
Didi Gregorius,6012,2
Dioner Navarro,3179,1
Domingo Santana,10348,3
Domonic Brown,3154,2
Donovan Solano,8623,2
Drew Stubbs,9328,1
Dustin Ackley,10099,1
Dustin Pedroia,8370,3
Dwight Smith Jr.,13473,1
Dylan Carlson,20126,2
Dylan Moore,18042,1
Ed Lucas,7532,1
Eddie Rosario,12155,2
Edgar Renteria,1178,1
Eduardo Escobar,6153,2
Eduardo Nunez,6848,1
Edwin Encarnacion,2151,3
Ehire Adrianza,8418,1
Elias Diaz,11680,1
Elliot Johnson,4751,1
Eloy Jimenez,17484,3
Elvis Andrus,8709,1
Emilio Bonifacio,4054,1
Emmanuel Rivera,19890,2
Ender Inciarte,4922,1
Enrique Hernandez,10472,1
Eric Chavez,906,3
Eric Haase,14111,2
Eric Hinske,1305,2
Eric Hosmer,3516,2
Eric Sogard,7927,1
Eric Thames,3711,3
Eric Young Jr.,7158,1
Erick Aybar,4082,1
Eugenio Suarez,12552,2
Evan Gattis,11003,2
Evan Longoria,9368,3
Everth Cabrera,8155,1
Ezequiel Carrera,9048,2
Felipe Lopez,1311,1
Felix Pie,3751,1
Fernando Tatis Jr.,19709,3
Francisco Cervelli,5275,2
Francisco Lindor,12916,3
Franklin Gutierrez,3255,1
Franmil Reyes,14566,2
Fred Lewis,4693,2
Freddie Freeman,5361,3
Freddy Galvis,6609,1
Freddy Sanchez,1624,2
Gaby Sanchez,3361,2
Garrett Cooper,15279,2
Garrett Hampson,19262,1
Garrett Jones,2714,2
Gary Sanchez,11442,2
Gavin Lux,19955,2
George Springer,12856,3
Geovany Soto,3707,2
Gerardo Parra,8553,1
Giancarlo Stanton,4949,3
Gilberto Celestino,20233,1
Gio Urshela,10681,3
Gleyber Torres,16997,3
Gordon Beckham,9015,1
Gorkys Hernandez,4146,1
Grady Sizemore,2197,1
Greg Bird,14131,1
Greg Dobbs,2158,1
Greg Garcia,10951,2
Gregor Blanco,3123,2
Gregory Polanco,12907,2
Guillermo Heredia,18721,1
Hanley Ramirez,8001,3
Hanser Alberto,11902,2
Harold Castro,14691,1
Harold Ramirez,14387,2
Harrison Bader,18030,1
Hernan Perez,5751,1
Hideki Matsui,1659,2
Howie Kendrick,4229,2
Hunter Dozier,15117,1
Hunter Pence,8252,3
Hunter Renfroe,15464,2
Hyun Soo Kim,18718,3
Ian Desmond,6885,2
Ian Happ,17919,2
Ian Kinsler,6195,2
Ian Stewart,5950,1
Ichiro Suzuki,1101,1
Ike Davis,8433,2
Isiah Kiner-Falefa,16512,1
Ivan Rodriguez,1275,1
J.D. Davis,16219,3
J.D. Drew,1152,2
J.D. Martinez,6184,3
J.J. Hardy,3797,1
J.P. Arencibia,697,1
J.P. Crawford,15491,2
J.T. Realmuto,11739,2
JB Shuck,6677,2
JT Riddle,17642,1
JaCoby Jones,14818,1
Jace Peterson,12325,1
Jack Cust,1564,3
Jack Hannahan,3692,1
Jackie Bradley Jr.,12984,1
Jacob Stallings,13723,1
Jacoby Ellsbury,4727,2
Jake Bauers,15194,1
Jake Cave,14477,2
Jake Cronenworth,18036,2
Jake Lamb,13329,2
Jake Marisnick,11339,1
Jake Smolinski,5408,1
James Jones,9767,1
James Loney,4556,2
James McCann,12859,1
Jamey Carroll,1591,2
Jared Walsh,18607,2
Jarrod Dyson,4866,1
Jarrod Saltalamacchia,5557,2
Jason Bartlett,8219,1
Jason Bay,1717,2
Jason Castro,8722,2
Jason Donald,9331,1
Jason Heyward,4940,2
Jason Kendall,993,1
Jason Kipnis,9776,2
Jason Kubel,2161,2
Javier Baez,12979,2
Jay Bruce,9892,2
Jayson Nix,3790,1
Jayson Werth,1327,3
Jean Segura,5933,2
Jed Lowrie,4418,2
Jedd Gyorko,10816,2
Jeff Francoeur,4792,1
Jeff Keppinger,3856,2
Jeff McNeil,15362,3
Jeimer Candelario,13621,2
Jemile Weeks,2498,1
Jerry Hairston,144,1
Jesse Winker,13590,3
Jesus Aguilar,11342,2
Jesus Guzman,3118,2
Jesus Montero,5514,1
Jhonny Peralta,1738,2
Ji-Man Choi,5452,3
Jim Thome,409,3
Jimmy Paredes,5481,2
Jimmy Rollins,971,1
Joaquin Arias,3817,1
Joc Pederson,11899,3
Joe Mauer,1857,3
Joe Panik,11936,2
Joey Gallo,14128,2
Joey Votto,4314,3
Joey Wendle,13853,1
Johan Camargo,14950,3
John Buck,2041,1
John Hicks,12547,1
John Jaso,5887,3
John Mayberry,3390,1
Johnny Damon,185,2
Johnny Giavotella,6740,1
Jon Jay,5227,2
Jon Singleton,10441,1
Jonathan Herrera,4182,1
Jonathan India,21523,2
Jonathan Lucroy,7870,2
Jonathan Schoop,11265,1
Jonathan Villar,10071,2
Jonny Gomes,1845,2
Jordan Pacheco,2677,1
Jordan Schafer,9883,1
Jordy Mercer,6547,1
Jorge Alfaro,12180,1
Jorge Bonifacio,12174,2
Jorge Cantu,2521,1
