Season,Season,Name,Level,Age,PA,BB%,K%,ISO,GB%,wRC+
1,2025,Cristian Arguelles,DSL,18,236,14.40%,10.60%,0.23,36.40%,201
2,2025,Josue Brito,DSL,18,157,26.10%,20.40%,0.321,31.90%,182
3,2025,Marco Argudin,DSL,19,149,14.10%,8.10%,0.19,40.80%,178
4,2025,Ching-Hsien Ko,CPX,18,226,17.30%,17.70%,0.172,49.60%,175
5,2025,Edgar Montero,DSL,18,244,24.60%,22.10%,0.267,36.80%,174
6,2025,Pablo Nunez,DSL,18,157,26.10%,3.80%,0.087,44.10%,169
7,2025,Richard Matic,DSL,17,191,20.90%,22.50%,0.231,41.50%,167
8,2025,Alfredo Duno,A,19,495,19.20%,18.40%,0.231,37.60%,163
9,2025,Roldy Brito,CPX,18,209,10.50%,20.10%,0.187,55.60%,161
10,2025,Reyli Mariano,DSL,18,165,19.40%,15.80%,0.244,47.90%,160
11,2025,Felix Reyes,AA,24,395,4.60%,15.40%,0.237,33.90%,160
12,2025,Marconi German,DSL,17,213,20.20%,19.70%,0.23,43.30%,159
13,2025,Eduardo Quintero,A,19,395,16.50%,22.30%,0.227,36.00%,158
14,2025,Sebastian Dos Santos,DSL,17,166,18.10%,17.50%,0.258,36.20%,158
15,2025,Dario Reynoso,CPX,20,227,17.60%,31.70%,0.258,48.00%,158
16,2025,Elorky Rodriguez,DSL,17,226,17.30%,16.80%,0.169,42.00%,158
17,2025,Juan Sanchez,DSL,17,253,10.30%,17.40%,0.224,36.80%,156
18,2025,Adolfo Sanchez,DSL,18,154,15.60%,13.60%,0.165,38.70%,156
19,2025,Jett Williams,AA,21,421,14.70%,22.80%,0.196,29.30%,156
20,2025,Andreimi Antunez,DSL,18,209,7.70%,13.90%,0.148,44.00%,155
21,2025,Izaac Pacheco,A+,22,425,17.40%,28.90%,0.24,33.60%,155
22,2025,Edwin Sanchez,DSL,20,210,29.00%,17.60%,0.204,34.30%,153
23,2025,Jordan Sanchez,CPX,19,195,15.90%,29.20%,0.236,34.00%,153
24,2025,Jose Rojas,AAA,32,517,12.60%,20.90%,0.312,32.40%,152
25,2025,Dylan Beavers,AAA,23,418,16.30%,18.20%,0.211,32.00%,152
26,2025,Brendan Tunink,CPX,19,168,16.10%,30.40%,0.25,40.40%,152
27,2025,Elaineiker Coronado,DSL,17,248,23.00%,10.90%,0.037,56.10%,151
28,2025,Almen Tolentino,DSL,18,204,16.70%,16.70%,0.231,33.30%,151
29,2025,Wilder Dalis,CPX,18,219,13.20%,20.10%,0.173,39.30%,150
30,2025,Kleiver Chauran,DSL,19,215,24.20%,15.30%,0.099,43.50%,150
31,2025,Juan Martinez,DSL,18,191,15.70%,11.50%,0.212,30.20%,150
32,2025,Luis Campusano,AAA,26,475,15.20%,17.30%,0.26,43.80%,149
33,2025,Alberth Palma,CPX,19,171,19.30%,9.90%,0.07,55.80%,148
34,2025,Cooper Ingle,AA,23,403,16.10%,17.40%,0.168,36.00%,148
35,2025,Marshall Toole,A,22,372,14.00%,19.60%,0.175,47.20%,148
36,2025,Ryan Clifford,AA,21,437,14.40%,25.90%,0.251,39.50%,148
37,2025,Samuell Sanchez,DSL,19,162,20.40%,27.80%,0.145,47.10%,148
38,2025,Caleb Bonemer,A,19,432,15.70%,21.10%,0.178,34.20%,147
39,2025,Dauri Fernandez,CPX,18,176,9.10%,12.50%,0.224,38.80%,147
40,2025,Bryan Torres,AAA,27,414,16.90%,13.80%,0.136,47.50%,147
41,2025,Elian Peña,DSL,17,223,16.10%,16.10%,0.236,33.10%,146
42,2025,Max Anderson,AA,23,405,6.90%,14.60%,0.192,44.80%,146
43,2025,Franklin Primera,DSL,18,172,14.50%,8.70%,0.096,44.60%,146
44,2025,Starlin Mieses,DSL,17,171,22.20%,22.80%,0.144,34.60%,145
45,2025,David Beckles,CPX,21,237,10.10%,26.60%,0.179,48.90%,145
46,2025,Yeferson Portolatin,DSL,17,174,29.30%,17.80%,0.148,34.20%,145
47,2025,Edward Lantigua,CPX,18,194,17.00%,14.90%,0.111,55.50%,144
48,2025,Luis Cova,DSL,18,218,15.60%,18.30%,0.237,29.20%,144
49,2025,Rodny Rosario,DSL,17,177,19.20%,19.20%,0.157,36.00%,144
50,2025,Yojancel Cabrera,DSL,17,219,13.70%,16.90%,0.133,45.40%,144
51,2025,Anthony Huezo,CPX,19,160,11.90%,31.90%,0.254,36.10%,144
52,2025,Johan De Los Santos,DSL,16,174,15.50%,7.50%,0.108,42.10%,143
53,2025,Hector Campusano,DSL,18,187,26.20%,14.40%,0.038,56.30%,143
54,2025,Rio Foster,A+,22,378,15.90%,25.40%,0.172,34.50%,143
55,2025,Sebastian Blanco,DSL,17,248,13.30%,13.70%,0.108,36.80%,143
56,2025,Nick Solak,AAA,30,482,10.00%,13.70%,0.16,53.90%,143
57,2025,JD Dix,CPX,19,178,11.20%,19.10%,0.151,40.00%,142
58,2025,Tatem Levins,AA,26,396,19.40%,25.30%,0.14,50.70%,142
59,2025,Josue De Paula,A+,20,426,19.00%,20.20%,0.158,40.00%,142
60,2025,Gustavo Baptista,DSL,17,206,22.30%,22.80%,0.152,38.70%,142
61,2025,David McCabe,AA,25,435,13.30%,20.50%,0.148,38.00%,142
62,2025,Angel Brachi,DSL,18,228,11.40%,7.90%,0.071,58.30%,142
63,2025,Jake Holton,AA,27,464,11.60%,25.40%,0.222,35.80%,141
64,2025,Luis Morejon,DSL,17,157,14.60%,12.10%,0.156,41.00%,141
65,2025,Andrew Tess,CPX,18,188,18.10%,20.70%,0.113,47.80%,141
66,2025,Yaxson Lucena,DSL,17,190,15.80%,10.50%,0.17,34.50%,141
